time,B2,B3,B4,B8,B11,B12,MSK_CLDPRB,QA60,SCL
18264,1181.647059,1333.932203,1171.264207,3530.090728,2189.270189,1338.11665,6.073778664,0,7
18269,8632.722832,8873.680957,9288.931206,9634.701894,2388.279163,2248.96012,0,1024,11
18274,6426.259222,6657.047856,7142.555334,7583.190429,1843.580259,1591.754736,0,1024,11
18279,8481.928215,8208.57328,8282.260219,8460.817547,6316.032901,5632.629113,100,1024,9
18284,2917.021934,2978.362911,2906.260219,3971.522433,1687.360917,990.2771685,100,0,9
18289,1795.461615,1725.261216,1456.408774,3524.892323,1990.266201,1150.560319,21.96311067,0,8
18294,3243.307079,3437.67996,3411.502493,5975.318046,4467.67996,3188.380857,87.3000997,0,8.723828514
18299,6273.851446,6274.200399,6462.485543,7097.993021,6122.44666,5121.352941,100,1024,9
18304,1463.296112,1523.544367,1321.295115,3719.073779,2072.584247,1215.242273,5.860418744,0,7
18309,358.8065803,648.9052841,602.2711864,3656.058824,2109.649053,1253.080758,0,0,4
18314,353.5343968,659.4646062,613.2771685,3689.478564,2028.222333,1160.367896,0,0,4
18319,9059.828514,8790.939182,8948.49651,9410.081755,6705.481555,6309.367896,100,1024,9
18324,348.3579262,654.4197408,532.6201396,3922.118644,1849.868395,1022.993021,0,0,4
18329,8510.035892,7856.713858,7452.846461,8576.335992,6512.444666,5790.558325,100,1024,9
18334,689.7547358,869.4905284,704.0618146,4004.133599,1701.539382,926.1036889,2,0,4
18339,378.3200399,525.2891326,355.9232303,4240.005982,1465.861416,669.2941176,0,0,4
18344,940.5134596,980.5254237,696.4137587,4432.735793,1379.089731,641.439681,3.114656032,0,6.063808574
18349,2315.351944,2168.958126,1934.891326,4405.79661,1513.468594,1181.931206,26.2442672,2048,8
18354,686.7158524,739.7318046,505.884347,4601.108674,1138.940179,484.8245264,0,0,4
18359,4733.993021,4290.093719,3918.989033,5213.901296,1801.97009,1701.24327,100,1024,9
18364,250.2691924,356.664008,200.9381854,4937.706879,1048.354935,414.554337,0,0,4
18369,222.8584247,313.6221336,155.4207378,5216.208375,1100.514457,433.8514457,0,0,4
18374,212.0408774,338.0887338,190.8604187,5304.480558,1131.693918,477.2881356,0,0,4
18379,261.9750748,366.218345,203.220339,5445.934197,1249.02991,513.8683948,0,0,4
18384,799.1306082,884.3918245,652.0119641,5198.995015,1464.646062,708.4127617,1,0,4
18389,8602.185444,8869.665005,9058.542373,9589.102692,1607.958126,1911.879362,0,1024,8
18394,793.7078764,1142.506481,1248.350947,4401.008973,1987.619143,1436.060818,11.10169492,0,4
18399,1120.167498,1249.986042,1137.479561,4404.582253,1619.518445,1044.532403,10.24027916,0,4.720837488
18404,265.8524427,517.9012961,358.6410768,4735.546361,1325.489531,627.112662,0,0,4
18409,277.3828514,482.558325,322.2801595,4263.955135,1278.6999,605.4845464,0,0,4
18414,1535.374875,1679.191426,1466.425723,4529.952144,1978.598205,1258.440678,22.13958126,0,8
18419,1019.801595,1247.278166,1261.079761,3330.846461,1819.730808,1217.087737,13.34795613,0,4.308075773
18424,10331.02293,9911.465603,9572.344965,9734.069791,1986.135593,2348.902293,0,1024,8
18429,6601.840479,6488.473579,6482.580259,6773.787637,2278.902293,2142.035892,0,1024,8
18434,1420.36989,1900.841476,2623.666999,3494.808574,4191.284148,3064.296112,0,0,5
18439,7974.198405,8017.398804,8027.551346,8439.377866,1408.474576,1498.892323,0,1024,8
18444,1085.966102,1371.742772,1557.022931,2508.813559,3104.239282,2300.074776,0,0,5
18449,841.7437687,1142.42672,1381.988036,2536.64008,3551.592223,2656.05683,0,0,5
18454,7388.227318,7303.676969,7179.11665,7539.767697,3226.55334,3218.748754,100,1024,9
18459,2115.798604,2021.926221,1693.333001,3553.940179,2596.038883,1741.302094,12.36989033,2048,10
18464,4664.714855,4304.091725,3940.190429,5316.167498,1664.714855,1643.211366,100,1024,9
18469,2196.846461,2053.283151,1634.879362,4429.687936,2524.367896,1532.274177,24.30707876,0,7.874376869
18474,3468.808574,3319.866401,3090.525424,3965.384845,1951.057827,1647.784646,100,1024,9
18479,10200.75374,10325.02094,10364.1336,10489.93619,1852.594217,1903.987039,0,1024,8
18484,5409.375872,5150.524427,4884.081755,6055.033898,4704.644068,3844.481555,100,1024,9
18489,10422.34696,10471.91426,10514.17747,10718.5324,3604.438684,3084.854437,0,1024,8
18494,5623.590229,5299.852443,4964.044865,6291.479561,3721.749751,3336.707876,100,1024,9
18499,1698.172483,1571.283151,1346.81655,3771.546361,1651.042871,1136.694915,13.58325025,2048,8
18504,531.440678,661.6021934,452.555334,3895.981057,1620.999003,706.0857428,0,0,4
18509,264.9690927,382.4257228,251.0069791,3580.887338,1510.732802,669.1914257,0,0,4
18514,902.3659023,1096.065803,1053.187438,2997.515454,1182.352941,858.8654038,7.338983051,2048,10
18519,8035.787637,8060.006979,7935.878365,8819.820538,6284.708873,5627.153539,100,1024,9
18524,365.1016949,525.0059821,366.5403789,3454.319043,1571.042871,734.9012961,0,0,4
18529,9012.713858,8451.606181,8110.490528,8338.256231,6866.715852,6070.10668,100,1024,9
18534,6733.393819,7117.194417,7369.9332,7577.266201,5113.071785,3844.0668,100,1024,9
18539,1632.848455,1670.974078,1623.967099,3296.120638,1969.465603,1467.99003,25.93020937,2048,8
18544,2777.014955,2742.305085,2789.678963,3117.329013,2905.865404,2583.107677,92.68693918,2031.665005,9
18549,4529.48654,4476.988036,4558.492522,4817.639083,4617.186441,4207.617149,100,1024,9
18554,1375.386839,1537.399801,1717.948156,1990.734796,2451.348953,2210.653041,15.03589232,0,6.477567298
18559,844.7477567,1027.597208,1240.021934,1663.808574,1951.095713,1598.84347,1.53439681,0,6.302093719
18564,2036.08674,2284.420738,2410.652044,3246.581256,3296.929212,2657.267198,96.25722832,1024,8.938185444
18569,858.0149551,1237.801595,1514.328016,2469.149551,2791.093719,2470.798604,0,0,5
18574,768.778664,1192.65005,1426.624128,2525.014955,2640.988036,2261.295115,0,0,5
18579,1145.421735,1338.1665,1248.587238,2459.687936,1863.403789,1305.577268,16.77567298,0,6.8444666
18584,10173.87438,10033.02891,9797.842473,9868.540379,4466.296112,4022.157527,100,1024,9
18589,3153.659023,2904.98006,2746.536391,3932.01994,2014.674975,1724.487537,90.83649053,1024,9
18594,7662.794616,7576.477567,7464.272183,7987.319043,1945.219342,2106.207378,0,1024,8
18599,535.3519442,767.7467597,591.3589232,2568.328016,1489.421735,942.3629113,1,0,4
18604,970.1645065,1231.882353,1000.546361,3279.914257,1948.790628,1332.664008,3.62113659,0,7
18609,515.6779661,801.2811565,767.4506481,2948.864407,1985.408774,1421.694915,0,0,4
18614,519.3808574,814.4685942,841.5004985,2745.000997,2118.21336,1547.666002,0,0,6.676969093
18624,12291.57527,11138.22532,10376.91127,11903.81854,7102.306082,5437.528415,100,1024,9
18629,824.3888335,1002.088734,1051.336989,2444.800598,2337.67996,1859.974078,0.003988036,0,7
18634,403.8733799,751.9032901,959.7657029,2372.302094,2409.627119,1924.33001,0,2048,10
18639,1614.729811,1903.556331,2112.355932,3158.231306,3124.381854,2619.928215,13.84646062,0,7
18644,467.2023928,802.5942173,1045.58325,2272.099701,2506.064806,1999.868395,0,0,5
18649,2654.201396,2570.031904,2601.731805,3271.079761,2871.984048,2430.412762,82.03688933,1024,8.889332004
18654,7633.418744,7438.206381,7238.058824,7770.201396,2791.901296,3047.5334,8.374875374,1024,8.083748754
18659,1146.387836,1373.235294,1557.473579,2554.409771,2711.017946,2234.334995,0,0,5
18664,647.7686939,980.1036889,1232.072782,2317.524427,2593.940179,2088.228315,0,0,5
18669,1050.697906,1230.72682,1367.238285,2352.035892,2532.851446,2072.521436,0,0,5
18674,688.1744766,1008.375872,1226.414756,2443.572283,2445.316052,1931.257228,0,0,5
18679,2568.547358,2607.133599,2668.256231,4023.226321,3148.901296,2648.75673,81.90827517,2048,8.821535394
18684,1906.216351,1893.509472,1832.915254,2816.730808,1962.769691,1576.469591,37.88534397,2048,8
18689,760.6261216,925.6001994,907.8823529,2500.775673,1851.440678,1213.535394,0.901296112,0,7
18694,1262.437687,1359.158524,1200.499501,2849.655035,1733.265204,1170.760718,16.42472582,0,7
18699,9514.362911,8840.376869,8567.447657,8834.488534,6765.255234,5977.537388,100,1024,9
18704,10628.25723,10552.70189,10639.19043,10736.9671,7814.229312,6142.094716,100,1024,9
18709,461.5044865,669.3170489,513.442672,3692.550349,1683.403789,964.7507478,0,0,4
18714,2218.370887,2729.761715,2968.808574,5148.961117,3312.208375,2549.688933,100,0,9
18719,8972.131605,8957.928215,8803.250249,9800.287139,5333.780658,3748.41675,100,1024,9
18724,798.9371884,874.9022931,592.6091725,4794.862413,1356.023928,604.2831505,1,0,4
18729,1117.7667,1071.727817,711.0069791,5226.654038,1538.71984,676.9461615,2.938185444,0,7
18734,132.1784646,344.4366899,138.6829511,5686.464606,1416.123629,617.1824526,0,0,4
18739,3765.214357,3448.335992,2991.975075,6555.982054,3519.400798,2631.488534,35.92522433,1024,7.597208375
18744,396.0957129,596.996012,417.3619143,5509.770688,1476.471585,732.9262213,0,0,4
18749,713.8634098,826.1316052,646.9312064,5186.335992,1464.139581,849.3968096,1,2048,10
18754,623.4536391,791.6021934,673.7088734,5127.62014,1454.579262,787.1615155,1,0,4
18759,1096.695912,1161.152542,970.9840479,4993.621137,1739.0668,990.9002991,5.846460618,0,4.376869392
18764,412.4077767,583.7038883,423.7437687,4561.532403,1383.568295,702.337986,0,2048,4
18769,2072.651047,1938.458624,1636.955135,3653.966102,1356.060818,892.0079761,11.30408774,2048,10
18774,162.5742772,458.1874377,358.556331,3739.795613,1395.279163,721.2721834,0,0,4
18779,2562.499501,2493.925224,2269.251246,3687.861416,1881.34995,1278.762712,60.60119641,2048,8
18784,590.2113659,868.9242273,1082.856431,2590.25324,1846.919242,1138.677966,0,0,5
18789,763.8055833,957.2372881,1327.480558,2131.78664,2449.759721,1737.649053,0,0,5
18794,9540.628116,8994.161515,8627.302094,7933.501496,6068.036889,4769.145563,100,1024,9
18799,1401.439681,1880.419741,2605.371884,3511.164506,5071.285145,4105.785643,0,0,5
18804,1226.713858,1605.470588,2110.565304,2996.955135,4065.772682,2995.123629,0,0,5
18809,8316.62014,8346.043868,8387.73679,8982.755733,1661.410768,1867.638086,0,1024,8
18814,1121.918245,1412.235294,1645.72682,2867.033898,3449.664008,2450.289133,0,2048,5
18819,10652.16351,10010.335,9505.389831,9707.062812,1886.601196,2140.803589,0,1024,8
18824,1838.755733,1977.232303,1841.385842,3279.717846,2587.744766,1927.227318,47.44366899,1024,7.926221336
18829,10436.87139,10301.02692,10151.37388,10201.46959,1600.6999,1770.539382,0,1024,8
18834,430.0568295,673.10668,355.7138584,4294.27318,1977.216351,858.9601196,0,2048,7.744765703
18839,1848.97009,1724.217348,1287.090728,4574.822532,1753.702891,799.5124626,11.03190429,0,7.003988036
18844,3261.489531,3142.845464,2879.949153,5089.241276,1546.100698,1322.305085,100,2048,9
18849,2221.210369,1982.400798,1528.618146,4646.329013,1918.392822,911.0827517,22.110668,0,8
18854,766.1994018,822.2711864,570.44666,4088.382851,1555.307079,670.1286142,0.312063809,0,4
18859,1604.18345,1620.599202,1355.635095,5169.532403,2720.908275,1562.602193,5.302093719,0,6.911266201
18864,205.9072782,352.6101695,216.5403789,3831.787637,1482.124626,634.0538385,0,0,4
18869,7124.554337,6578.752742,6259.444666,6699.935194,5149.194417,4594.219342,100,1024,9
18874,8104.774676,8181.772682,8287.595214,8382.841476,5862.449651,4062.220339,100,1024,9
18879,519.4117647,622.9252243,449.9431705,3664.447657,1599.372881,740.445663,0,0,4
18884,2098.132602,1872.459621,1343.152542,4388.090728,1986.187438,951.9132602,14.96311067,32.66999003,7
18889,9391.527418,9472.331007,9537.11665,9766.468594,1717.069791,1838.506481,0,1024,8
18894,9163.302094,9161.682951,9222.145563,9063.659023,4962.400798,3884.19342,100,1024,9
18899,470.6979063,568.0747757,708.9222333,1266.961117,2272.959123,1741.632104,0,0,5
18904,10710.82552,10696.98106,10631.09671,10779.04088,2782.924227,3373.390828,0,1024,8
18909,5328.030907,5208.537388,5418.793619,5504.467597,4944.668993,4147.139581,100,1024,9
18914,9448.596211,9492.382851,9365.57328,9529.760718,3390.383848,3265.753739,0,1024,8
18919,8995.972084,8180.501496,7635.250249,7657.227318,4418.072782,4274.896311,100,1024,9
18924,1468.329013,1494.119641,1541.147557,1629.797607,1793.867398,1536.157527,17.28315055,0,6.651046859
18929,2076.977069,2169.27318,2340.774676,2659.030907,3100.331007,2661.836491,80.13659023,0,8.685942173
18934,1592.521436,1758.042871,1943.238285,2261.104686,2427.400798,2181.946162,20.46161515,2048,7.520438684
18939,1,1,232.2781655,824.5992024,1479.028913,1114.356929,0.901296112,0,6.506480558
18944,443.4526421,703.221336,955.2662014,1388.110668,1684.055833,1360.024925,0.255234297,0,6.395812562
18949,2274.017946,2302.992024,2316.271186,2749.641077,2383.411765,2000.952144,61.34297109,0,8.088733799
18954,497.4207378,928.8544367,1212.564307,2112.234297,2351.988036,2017.471585,0,0,5
18959,1722.745763,1809.86341,1783.051844,2473.819541,2436.144566,2079.258225,36.24725823,0,5.95114656
18964,607.4715852,964.3659023,1164.622134,2243.797607,2298.632104,1915.222333,0,0,5
18969,2500.120638,2547.658026,2547.383848,3019.869392,1141.390828,1091.594217,0,2048,10
18974,604.0448654,965.2801595,1059.238285,2471.197408,2217.587238,1749.367896,0,0,6.914257228
18979,555.777667,896.2293121,1044.577268,2462.429711,2272.269192,1835.059821,0,0,5
18984,9428.185444,9261.254237,9063.649053,9337.252243,3215.731805,3854.217348,0,1024,8
18989,537.7557328,797.8963111,863.1306082,2310.778664,2006.090728,1581.366899,1,0,7
18994,628.5832502,926.4626122,1046.717846,2354.904287,2010.120638,1603.222333,1.963110668,2048,7
18999,5420.064806,5195.502493,5212.992024,5497.794616,4683.207378,4236.565304,100,1024,9
19004,6938.605184,7064.431705,7095.951147,7790.889332,2499.468594,2822.815553,0,1024,8
19009,565.9940179,828.8504487,1031.710867,2399.518445,2214.907278,1803.275174,0,2048,5
19014,8314.844467,7888.838485,7822.404786,8356.862413,5473.561316,4714.589232,100,1024,9
19019,19955.65803,16028.72981,13334.34098,11728.85942,6594.723829,5220.218345,100,0,9
19024,573.9431705,873.0259222,1064.277168,2354.612164,2152.025922,1723.670987,0,0,5
19029,12250.37488,10719.18843,9653.519442,9548.624128,2357.196411,2582.924227,65,0,8
19034,3898.412762,3850.926221,3830.111665,4361.124626,1870.395813,1742.170489,100,0,9
19039,812.2761715,1068.135593,1231.420738,2631.839482,2344.763709,1891.074776,0,0,5
19044,423.9511466,832.9850449,1076.044865,2474.996012,2321.558325,1848.212363,0,0,5
19049,563.3748754,885.7996012,1109.725823,2525.925224,2328.713858,1895.374875,0,0,5
19054,505.6420738,915.8713858,1090.226321,2759.150548,2332.66002,1785.732802,0,0,5
19059,541.8015952,903.8334995,1026.460618,3047.52343,2345.89332,1752.441675,0,0,5
19064,6061.160518,6239.60319,6495.392822,6792.24327,7033.731805,4923.165503,100,0,9
19069,21192.88136,17216.40279,14518.55234,12890.9671,2772.19342,2997.373878,65,0,8
19074,511.5333998,786.664008,604.226321,4019.218345,1712.135593,969.9162512,2.874376869,0,4
19079,551.0717846,756.4725823,588.4695912,4106.465603,1689.918245,924.8005982,1.876370887,0,4
19084,219.5004985,436.0827517,220.7517448,4303.55334,1257.829511,538.4755733,0,0,4
19089,283.7926221,424.5852443,243.0398804,4518.607178,1210.696909,525.6809571,0,0,4
19094,2603.344965,2414.050847,2161.639083,4766.442672,1618.078764,1348.57328,65,0,8
19099,2521.957129,2487,2353.005982,5041.027916,1972.996012,1506.483549,65,0,8
19104,4887.125623,4968.907278,4917.761715,6608.808574,2157.705882,2166.094716,100,0,9
19109,8485.397807,7047.189432,5972.408774,7958.687936,5144.1665,4331.784646,100,0,9
19114,343.3868395,515.6301097,307.8693918,5321.477567,1302.385842,572.8285145,0,0,4
19119,7698.454636,7986.095713,8646.504487,9759.832502,5726.600199,4815.065803,100,0,9
19124,10242.47458,10169.04287,10206.80758,10594.18345,6244.738784,4916.939182,100,0,9
19129,281.1046859,452.5792622,299.9661017,4874.557328,1324.254237,624.0458624,0,0,4
19134,390.5722832,605.218345,435.5333998,4405.334995,1259.000997,631.5473579,0,0,4
19139,283.9082752,510.111665,354.4317049,4362.613161,1335.249252,647.6520439,0,0,4
19144,404.667996,711.8773679,577.5034895,3931.700897,1391.038883,704.3828514,0.901296112,0,4
19149,480.440678,818.2562313,963.5124626,3074.910269,1684.588235,991.4566301,3.970089731,0,4
19154,1069.68993,1330.188435,1877.333998,2972.266201,2465.450648,1511.696909,0.098703888,0,10
19159,7529.214357,6109.168495,5753.140578,5002.956132,3709.498504,2731.42672,100,0,9
19164,1041.779661,1531.829511,2170.176471,2901.842473,3713.700897,2834.18345,0,0,5
19169,1099.616152,1454.258225,1909.753739,2711.358923,3351.492522,2571.069791,0,0,5
19174,1231.161515,1397.986042,1480.837488,2357.051844,3019.763709,2183.671984,0,0,5
19179,2744.696909,2764.098704,2668.180459,3727.103689,3618.745763,2740.67996,46.08673978,0,8
19184,7093.241276,7128.653041,7213.882353,7649.353938,2169.921236,2306.683948,65,0,8
19189,12767.61914,13022.62812,12788.75573,11856.20339,6134.494516,4427.655035,100,0,9
19194,466.1415753,662.5174477,417.5164506,4106.828514,2012.9332,922.4077767,0,0,4
19199,1497.048853,1432.742772,1079.889332,5067.227318,2273.402792,1093.038883,0,0,5
19204,785.442672,852.5403789,586.8484546,4514.655035,1772.046859,750.9750748,1.963110668,0,4
19209,701.3419741,734.8783649,506.9142572,4332.696909,1582.508475,675.8564307,0,0,4
19214,15574.61216,13727.64706,12544.27119,11401.57926,2137.656032,2831.58325,65,0,8
19219,15211.55135,13025.36391,11570.02193,10684.4985,6756.941176,5475.120638,100,0,9
19224,684.1924227,588.9571286,527.449651,1798.35992,995.4735793,822.0478564,0.186440678,0,3
19229,213.1355932,340.7078764,230.2063809,3887.619143,1512.160518,647.4656032,0,0,4
19234,1336.44666,1277.209372,983.2462612,4530.266201,1795.587238,819.9780658,0,0,5
19239,408.2462612,515.3549352,399.5324028,4127.889332,1637.886341,804.0169492,0.581256231,0,10
19244,1314.437687,1262.393819,1060.749751,3510.115653,1307.752742,761.2063809,0,0,5
19249,778.3559322,730.5932203,573.8325025,3294.410768,1674.824526,819.3449651,1.618145563,0,4.026919242
19254,730.1734796,859.5672981,705.8404786,3681.981057,1888.483549,947.7587238,1.261216351,0,4
19259,1961.817547,1847.132602,1577.866401,4120.729811,1566.073779,1045.670987,13.20438684,0,8.841475573
19264,961.4187438,1316.58325,1722.402792,2359.358923,3022.202393,2590.497507,0,0,4.988035892
19274,1083.767697,1492.824526,1979.212363,2636.978066,3293.17348,2930.85344,0,0,5
19279,374.7547358,703.8703888,1056.240279,1075.176471,1389.671984,1318.239282,13.35393819,0,10
19284,927.6570289,1163.118644,1475.66002,1866.773679,2544.278166,2347.420738,0,0,5
19289,811.3728814,1124.700897,1542.000997,1990.174477,2746.301097,2521.425723,0,0,5
19294,4780.924227,4721.907278,4671.828514,4653.371884,3476.742772,2169.343968,100,0,9
19299,9461.274177,8031.762712,7082.794616,6603.916251,3558.635095,3052.963111,100,0,9
19309,1584.774676,1630.228315,1581.002991,2474.49651,1635.237288,1345.355932,65,0,8
