time,B2,B3,B4,B8,B11,B12,MSK_CLDPRB,QA60,SCL
18264,1608.310275,1749.35707,2021.716175,2305.828077,2645.570702,2602.100712,3.095625636,0,7
18269,7951.194303,7906.365209,8037.783316,8093.547304,4228.694812,3904.808749,100,1024,9
18274,4521.888098,4463.623601,4604.133266,4727.381485,1695.140387,1273.619532,0,1024,11
18279,3313.91353,3322.043744,3444.788403,3493.525941,1406.396745,1186.672431,0,0,11
18284,7857.716175,6376.93998,6730.028484,7109.794507,6382.318413,5395.826043,100,1024,9
18289,1058.69176,1151.797558,1435.772126,1704.349949,2148.589013,2108.907426,17.57884028,0,7
18294,1044.431333,1278.694812,1617.164802,1952.893184,2458.110885,2461.282808,0,0,5
18299,8048.426246,7323.835198,7011.216684,6839.593082,5637.692777,4976.306205,100,1024,9
18304,1254.555443,1456.120041,1768.447609,2094.269583,2613.455748,2609.621567,0,0,5
18309,717.1200407,1109.655137,1621.291963,2123.51882,2776.684639,2829.462869,0,0,5
18314,711.9704985,1115.914547,1633.536114,2159.17294,2755.279756,2730.36826,0,0,5
18319,10595.59105,10313.99797,10274.18311,10659.36317,6628.309257,5027.786368,100,1024,9
18324,3342.77823,3442.224822,3681.426246,4044.538149,3385.676501,3308.560529,100,2048,9
18329,1820.406918,1948.525941,2048.893184,2464.119023,2636.554425,2183.76704,83.20956256,1024,8.659206511
18334,1163.115972,1494.180061,1936.845371,2460.874873,3100.193286,3025.713123,0,0,5
18339,956.7538149,1327.223805,1846.719227,2421.78942,3186.937945,3215.008138,0,0,5
18344,1311.122075,1572.826043,1975.905392,2480.829095,3192.043744,3146.072228,0,0,5
18349,1550.009156,1877.582909,2385.994914,3056.944049,3265.401831,3279.883011,0,2048,5
18354,4611.029502,4985.666328,5490.083418,6285.035605,5630.982706,5100.561546,100,1024,9
18359,2010.042726,2072.657172,2285.89115,2630.601221,3139.547304,3035.990844,5.761953204,0,7
18364,959.3021363,1405.11292,1935.625636,2637.532045,3262.084435,3109.664293,0,0,5
18369,1047.562564,1418.82706,1841.200407,2611.952187,3135.354018,3017.104781,0,0,5
18374,916.5127162,1343.338759,1790.452696,2758.375381,3051.637843,2839.254323,0,0,5
18379,933.5066124,1289.376399,1693.484232,2774.591048,3129.17294,2945.873856,0,0,5
18384,1014.28179,1342.035605,1554.134283,2840.779247,2840.312309,2471.775178,0,0,5
18389,8905.485249,9091.255341,9154.417091,9641.772126,2022.928789,2362.683622,0,1024,8
18394,980.7365209,1435.043744,1743.298067,3151.809766,2803.5941,2350.666328,0,0,5
18399,1009.640895,1326.446592,1509.499491,3046.336724,2725.685656,2328.974568,0,0,5
18404,379.3377416,685.4323499,836.965412,2569.873856,2046.859613,1465.678535,0,0,4.75076297
18409,361.9043744,698.3855544,797.9460834,2810.886063,2269.264496,1701.466938,0,0,4.007121058
18414,1074.296033,1341.81587,1407.615463,3223.636826,2583.19939,2015.38352,0.443540183,0,4.889114954
18419,886.9674466,1117.065107,1173.591048,3019.917599,2411.741607,1881.122075,0,0,4.493387589
18424,8150.452696,7475.465921,6952.893184,7167.113937,2371.505595,2815.558494,0,1024,8
18429,7706.331638,7864.559512,7973.408952,8427.214649,1713.385554,1991.029502,0,1024,8
18434,1017.243133,1141.808749,997.646999,3235.18413,2119.649034,1361.884028,4.471007121,0,4
18439,8680.872838,8388.455748,8128.604273,8473.493388,1637.243133,1816.189217,0,1024,8
18444,610.9369278,799.7426246,657.8118006,3174.863683,1857.018311,1081.362157,0,0,4
18449,535.0295015,711.0498474,568.6042726,3161.797558,1924.972533,1142.786368,0,0,4
18454,4511.782299,4616.84944,4683.286877,5894.522889,3951.452696,3454.544252,100,1024,9
18459,2565.295015,2474.45473,2219.613428,4196.808749,2312.508647,1822.603255,51.89013225,2048,8
18464,2059.822991,2096.027467,1945.850458,4265.381485,2652.698881,1984.563581,11.65513733,7.291963377,7.113936928
18469,10018.21567,9748.19939,9566.419125,9730.185148,6053.731434,4232.590031,100,1024,9
18474,9452.659207,8749.938962,8198.531027,8213.915565,6158.390641,5004.102747,100,1024,9
18479,11103.28586,10520.23398,10086.87894,9796.008138,2134.876907,2656.051882,0,1024,8
18484,7028.694812,6595.942014,6262.780264,6195.728383,5637.021363,4946.930824,100,1024,9
18489,8448.555443,8618.681587,8620.600203,9237.713123,2515.125127,2939.081384,0,1024,8
18494,4555.868769,4718.11292,4697.488301,5840.033571,1735.636826,1774.479145,100,1024,9
18494,4103.254323,4395.151577,4468.897253,5725.536114,1730.498474,1780.430315,100,1024,9
18499,7217.179044,6612.219736,6039.622584,7153.373347,2203.826043,2426.599186,100,1024,9
18504,468.8921668,751.6866734,650.3153611,3142.375381,2385.485249,1454.087487,0,0,4
18509,553.4109868,786.3468973,761.4506612,2958.658189,2549.388606,1788.801628,0,0,4
18514,1640.384537,1773.869786,1717.735504,2545.436419,1613.968464,1355.91353,26.57171923,2048,8
18519,2249.648016,2220.39471,2005.346897,3367.200407,2679.010173,1953.46999,48.82299084,1024,8
18524,631.0874873,885.768057,919.2044761,2719.305188,2655.657172,1902.240081,0,0,4
18529,1408.937945,1341.617497,1173.399797,2350.30824,2124.54527,1430.370295,9.619532045,0,7
18534,7867.71414,7961.618515,7947.791455,8412.649034,5872.998983,4912.997965,100,1024,9
18534,10930.07935,10007.02136,9330.844354,9074.69176,6029.568667,5289.785351,100,1024,9
18539,673.121058,915.2207528,1026.772126,2580.119023,2750.355036,2197.385554,0,0,5
18544,3013.600203,3033.576806,2824.733469,3973.369278,2675.745677,2309.683622,95.08748728,2048,9
18549,8761.230926,8742.400814,8707.316378,9212.81587,2788.491353,2678.757884,0,1024,8
18554,1008.404883,1225.832146,1383.106816,2490.28586,3108.217701,2553.243133,0,0,5
18559,904.6927772,1191.743642,1474.946083,2451.653103,3287.991862,2842.412004,0,0,5
18564,486.3855544,670.723296,812.7863683,1244.19532,1483.565615,1229.782299,13.46998983,0,7
18569,816.1332655,1119.105799,1490.93591,2236.188199,3002.4059,2756.078332,0,0,5
18574,785.9562564,1159.967447,1578.504578,2218.36826,2973.271617,2783.609359,0,0,5
18579,1627.636826,1791.697864,2036.474059,2361.969481,2935.276704,2898.412004,0,0,5
18584,9478.618515,9314.754832,9058.634791,8980.410987,3487.876907,3918.098678,0,1024,8
18589,4160.589013,4150.796541,4066.756867,4513.828077,2192.626653,2176.500509,100,1024,9
18594,6188.76704,6018.607325,5943.138352,6353.034588,2439.814852,2458.15056,100,1024,9
18599,924.9074262,1119.215666,1458.366226,1802.409969,2296.385554,2141.239064,0,0,5
18604,908.6927772,1097.514751,1341.034588,1579.350966,1674.04883,1535.258393,15.12207528,0,7
18609,967.2706002,1330.191251,1792.857579,2325.721261,2848.01119,2815.404883,0,2048,5
18614,1015.440488,1447.380468,1950.661241,2461.19532,3050.291963,2970.512716,0,0,5
18624,7640.841302,7851.414039,8083.087487,8178.704985,3671.860631,3942.119023,100,1024,9
18629,1185.289929,1490.416073,1915.29705,2377.276704,3018.442523,3011.366226,0,0,5
18634,852.1780264,1363.600203,1891.508647,2495.593082,3035.959308,3003.070193,0,2048,10
